integrator,problem,dt,mean_time,std_time,rms_error,max_error,position_rms,velocity_rms,energy_drift,max_energy_drift,n_steps,n_evaluations
Forward Euler,Simple Harmonic Oscillator,0.5,0.0002955300034955144,2.3216547055825266e-06,774262586.7035804,4909093464.746779,498230467.41533715,592662597.5274752,2.4099198651028886e+19,1.2049599325514443e+19,200,200
Forward Euler,Simple Harmonic Oscillator,0.2,0.0007571099966298788,1.3298451233127097e-05,4129.375359514288,18127.105727540984,2952.8099557844716,2886.633718500472,328601580.57955194,164300790.28977597,500,500
Forward Euler,Simple Harmonic Oscillator,0.1,0.0015299199963919818,9.344184037368152e-06,45.3864867694319,143.82753551024558,31.27069241510874,32.89493847313714,20958.155637813717,10479.077818906859,1000,1000
Forward Euler,Simple Harmonic Oscillator,0.05,0.0030280300008598713,1.2212869239384092e-05,4.6308533072230755,11.148315872708778,3.230529238787269,3.3179034329466917,146.49000299448736,73.24500149724368,2000,2000
Forward Euler,Simple Harmonic Oscillator,0.02,0.00757667999714613,0.00010728845812945944,0.8705153057314198,1.7178789325656567,0.6102716383123443,0.6207780803026429,6.386101855151293,3.1930509275756465,5000,5000
Forward Euler,Simple Harmonic Oscillator,0.01,0.015033480001147837,5.498723613850197e-05,0.35127765276617684,0.648694174025814,0.24654049830033192,0.25022744060302166,1.7181459268244357,0.8590729634122178,10000,10000
Forward Euler,Simple Harmonic Oscillator,0.005,0.03026499000261538,0.0003037776455257389,0.15886959855686622,0.2840229738734235,0.11155501989278983,0.11311510457202034,0.6487109663961526,0.3243554831980763,20000,20000
Forward Euler,Simple Harmonic Oscillator,0.002,0.07600579000427388,0.00025038051227457413,0.059962150112598304,0.10517079044908273,0.04211547294600516,0.042681921051659334,0.22140226960046028,0.11070113480023014,50000,50000
Forward Euler,Simple Harmonic Oscillator,0.001,0.15266995999845676,0.0010355957008143291,0.029416487022134424,0.051271081485408494,0.020662953600907617,0.02093733644020036,0.10517086281687127,0.052585431408435634,100000,100000
Forward Euler,Simple Harmonic Oscillator,0.0005,0.30388981000869536,0.0008718680519535301,0.014570040387729166,0.025315118726573143,0.010234829413381101,0.010369876748498418,0.05127108980523554,0.02563554490261777,200000,200000
Forward Euler,Simple Harmonic Oscillator,0.0001,1.5250562100089156,0.013754900929320489,0.002892172286029979,0.0050125208453306,0.0020316948492029455,0.0020583674530564493,0.010050167033200497,0.005025083516600248,1000000,1000000
RK4,Simple Harmonic Oscillator,0.5,0.0019033899996429681,0.00043897969177439773,0.029797228162233163,0.05140987535729309,0.021231227120130515,0.020907171045495748,0.04117898759859018,0.02058949379929509,200,800
RK4,Simple Harmonic Oscillator,0.2,0.004154960002051666,2.484480317777173e-05,0.0007698158603389471,0.0013326572412313525,0.00054813536795635,0.0005405220413866117,0.00044212465186366234,0.00022106232593183117,500,2000
RK4,Simple Harmonic Oscillator,0.1,0.008299289998831227,7.657734763013667e-05,4.811964995794748e-05,8.332477661402406e-05,3.425478642209001e-05,3.37951227139715e-05,1.3871431665535283e-05,6.935715832767642e-06,1000,4000
RK4,Simple Harmonic Oscillator,0.05,0.016596319997915998,4.4236970512004584e-05,3.007332185210744e-06,5.2082000634675904e-06,2.140566548965034e-06,2.11234981043774e-06,4.338920479574071e-07,2.1694602397870355e-07,2000,8000
